CUENTA_CREDITO|SITUACION_CREDITO|SALDO_PRINCIPAL|INTERES_DEVENGADO|INTERESES_COBRADOS|COMISIONES_COBRADAS|SALDO_PROMEDIO|RESERVAS_CALIF|RESERVAS_ADIC|PORC_RESERVAS_417|MONEDA|FECHA_INFO
|1|602460.09|513762.99|505562.84|0.00|19434.20||||0|2026-01-31
|1|525484.45|1562075.78|1447549.42|0.00|17516.15||||0|2026-01-31
|1|1490706.07|415065.31|393162.98|0.00|49690.20||||0|2026-01-31
|1|700010.39|639854.44|618647.92|0.00|22580.98||||0|2026-01-31
|2|703524.79|678783.20|650578.82|0.00|22694.35||||0|2026-01-31
|1|453544.90|1176569.24|1171136.52|0.00|14630.48||||0|2026-01-31
|1|155012.63|98449.98|95735.75|0.00|5167.09||||0|2026-01-31
|2|1426583.44|1659427.49|1635554.90|0.00|46018.82||||0|2026-01-31
|1|7995637.81|3101394.16|2990716.94|0.00|257923.80||||0|2026-01-31
|1|456724.37|706033.83|700882.30|0.00|15224.15||||0|2026-01-31
|1|3102400.00|33042.63|20649.57|0.00|100077.42||||0|2026-01-31
|1|333000.00|287288.29|280348.82|0.00|11100.00||||0|2026-01-31
|1|3936555.28|410518.27|357670.28|0.00|131218.51||||0|2026-01-31
|1|693300.40|677611.86|668444.74|0.00|22364.53||||0|2026-01-31
|1|459680.28|295042.26|289905.02|0.00|15322.68||||0|2026-01-31
|1|2944297.87|1869877.92|1821186.68|4481.92|98143.26||||0|2026-01-31
|0|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|3|546258.22|274305.81|238571.36|0.00|18208.61||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|0|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|579002.10|974843.43|969157.71|0.00|19300.07||||0|2026-01-31
|1|370166.88|925694.39|863474.42|0.00|12338.90||||0|2026-01-31
|1|1567998.17|2063385.92|1962444.01|0.00|52266.61||||0|2026-01-31
|1|2854901.59|452830.56|410221.14|0.00|95163.39||||0|2026-01-31
|2|14641662.17|11290997.90|10752419.29|0.00|472311.68||||0|2026-01-31
|1|5536678.27|441041.45|387064.31|0.00|184555.94||||0|2026-01-31
